Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12308,9/8/2022,-0.227051811,-0.160127474,-0.137697152,21,100
Market-Adjusted Model,12310,9/8/2022,-0.028645801,0.079292518,0.060708858,21,100
Market-Adjusted Model,12313,9/8/2022,-0.088965677,0.000374112,0.000388981,21,100
Market-Adjusted Model,12314,9/8/2022,-0.100111021,-0.011402939,-0.010756362,21,100
Market-Adjusted Model,12315,9/8/2022,-0.07738711,0.012436292,0.011967548,21,100
Market-Adjusted Model,12316,9/8/2022,-0.091114689,-0.001968351,-0.001760031,21,100
Market-Adjusted Model,12317,9/8/2022,-0.106386652,-0.018162674,-0.017031994,21,100
Market-Adjusted Model,12318,9/8/2022,-0.102401029,-0.014096817,-0.013046371,21,100
Market-Adjusted Model,12321,9/8/2022,-0.097490994,-0.009081694,-0.008136336,21,100
Market-Adjusted Model,12325,9/8/2022,-0.17678942,-0.081726754,-0.087434762,21,100
Market-Adjusted Model,12326,9/8/2022,-0.005528889,0.086886773,0.08382577,21,100
Market-Adjusted Model,12329,9/8/2022,-0.086333369,0.003423118,0.00302129,21,100
Market-Adjusted Model,12331,9/8/2022,-0.116490107,-0.031335176,-0.027135448,21,100
Market-Adjusted Model,12332,9/8/2022,-0.082553059,0.018328554,0.0068016,21,100
Market-Adjusted Model,12333,9/8/2022,-0.083117366,0.010248861,0.006237292,21,100
Market-Adjusted Model,12334,9/8/2022,-0.100360288,-0.01300454,-0.011005629,21,100
Market-Adjusted Model,12338,9/8/2022,0.025679769,0.118808064,0.115034427,21,100
Market-Adjusted Model,12339,9/8/2022,0.064377726,0.184929196,0.153732384,21,100
Market-Adjusted Model,12341,9/8/2022,-0.029030979,0.062063543,0.060323679,21,100
Market-Adjusted Model,12345,9/8/2022,-0.155981539,-0.074312644,-0.066626881,21,100
Market-Adjusted Model,12350,9/8/2022,-0.458953578,-0.489373794,-0.369598919,21,100
Market-Adjusted Model,12355,9/8/2022,-0.142430074,-0.05975849,-0.053075415,21,100
Market-Adjusted Model,12358,9/8/2022,-0.464715997,-0.499722694,-0.375361339,21,100
Market-Adjusted Model,12360,9/8/2022,-0.099833668,0.034068275,-0.010479009,21,100
Market-Adjusted Model,12363,9/8/2022,-0.292134775,-0.237338797,-0.202780116,21,100
Market-Adjusted Model,12366,9/8/2022,-0.032604201,0.059584364,0.056750458,21,100
Market-Adjusted Model,12367,9/8/2022,-0.339147484,-0.301020501,-0.249792825,21,100
Market-Adjusted Model,12368,9/8/2022,-0.090049379,-0.002533715,-0.000694721,21,100
Market-Adjusted Model,12369,9/8/2022,-0.028372027,0.06837028,0.060982631,21,100
Market-Adjusted Model,12370,9/8/2022,-0.078607681,0.015421124,0.010746978,21,100
Market-Adjusted Model,12372,9/8/2022,0.025310182,0.130234161,0.114664841,21,100
Market-Adjusted Model,12373,9/8/2022,-0.087321827,0.006492693,0.002032831,21,100
Market-Adjusted Model,12376,9/8/2022,-0.113228727,-0.025403527,-0.023874068,21,100
Market-Adjusted Model,12377,9/8/2022,-0.155413271,-0.062189922,-0.066058612,21,100
Market-Adjusted Model,12380,9/8/2022,-0.03993349,0.065502129,0.049421169,21,100
Market-Adjusted Model,12385,9/8/2022,-0.009868413,0.082973288,0.079486246,21,100
Market-Adjusted Model,12391,9/8/2022,-0.151754354,-0.067093871,-0.062399696,21,100
Market-Adjusted Model,12397,9/8/2022,-0.201149443,-0.122677292,-0.111794785,21,100
Market-Adjusted Model,12400,9/8/2022,0.030791332,0.122401033,0.12014599,21,100
Market-Adjusted Model,12411,9/8/2022,-0.136563854,-0.048143041,-0.047209195,21,100
Market-Adjusted Model,12412,9/8/2022,-0.077939879,0.011353765,0.01141478,21,100
Market-Adjusted Model,12431,9/8/2022,-0.060681516,0.0319887,0.028673143,21,100
Market-Adjusted Model,12437,9/8/2022,-0.005876633,0.085155321,0.083478026,21,100
Market-Adjusted Model,12442,9/8/2022,0.140679512,0.245299989,0.230034171,21,100
Market-Adjusted Model,12443,9/8/2022,-0.161028431,-0.061842941,-0.071673773,21,100
Market-Adjusted Model,12447,9/8/2022,-0.045513639,0.057901129,0.04384102,21,100
Market-Adjusted Model,12448,9/8/2022,-0.153256751,-0.070613015,-0.063902092,21,100
Market-Adjusted Model,12449,9/8/2022,-0.168265664,-0.088350889,-0.078911006,21,100
Market-Adjusted Model,12452,9/8/2022,-0.130162705,-0.043190263,-0.040808047,21,100
Market-Adjusted Model,12453,9/8/2022,-0.026930632,0.063726276,0.062424026,21,100
Market-Adjusted Model,12457,9/8/2022,-0.038773784,0.053080424,0.050580875,21,100
Market-Adjusted Model,12461,9/8/2022,-0.099823462,-0.012392406,-0.010468803,21,100
Market-Adjusted Model,12462,9/8/2022,-0.095952619,-0.007965421,-0.006597961,21,100
Market-Adjusted Model,12472,9/8/2022,-0.132829044,-0.047796021,-0.043474386,21,100
Market-Adjusted Model,12473,9/8/2022,-0.114683509,-0.027251953,-0.02532885,21,100
Market-Adjusted Model,12476,9/8/2022,-0.061110347,0.035401401,0.028244312,21,100
Market-Adjusted Model,12477,9/8/2022,-0.148203496,-0.064665459,-0.058848838,21,100
Market-Adjusted Model,12480,9/8/2022,-0.087610844,0.001065531,0.001743815,21,100
Market-Adjusted Model,12487,9/8/2022,-0.051269839,0.049028276,0.03808482,21,100
Market-Adjusted Model,12488,9/8/2022,-0.14631946,-0.058505964,-0.056964802,21,100
Market-Adjusted Model,12490,9/8/2022,-0.069986696,0.019962556,0.019367963,21,100
Market-Adjusted Model,12495,9/8/2022,-0.506787322,-0.54521938,-0.417432663,21,100
Market-Adjusted Model,12497,9/8/2022,-0.072538856,0.03323592,0.016815802,21,100
Market-Adjusted Model,12500,9/8/2022,-0.179213823,-0.092723815,-0.089859165,21,100
Market-Adjusted Model,12502,9/8/2022,0.024576975,0.124123931,0.113931634,21,100
Market-Adjusted Model,12505,9/8/2022,-0.109647424,-0.020008596,-0.020292766,21,100
Market-Adjusted Model,12508,9/8/2022,-0.074509615,0.01528219,0.014845044,21,100
Market-Adjusted Model,12510,9/8/2022,0.093979424,0.186070425,0.183334082,21,100
Market-Adjusted Model,12513,9/8/2022,-0.070714617,0.019627527,0.018640042,21,100
Market-Adjusted Model,12514,9/8/2022,-0.083924342,0.004650584,0.005430316,21,100
Market-Adjusted Model,12515,9/8/2022,-0.079756147,0.011677373,0.009598512,21,100
Market-Adjusted Model,12516,9/8/2022,-0.079721954,0.009004359,0.009632705,21,100
Market-Adjusted Model,12523,9/8/2022,-0.060807124,0.030119442,0.028547535,21,100
Market-Adjusted Model,12527,9/8/2022,0.298245653,0.500467855,0.387600312,21,100
Market-Adjusted Model,12528,9/8/2022,-0.022757659,0.069247237,0.066597,21,100
Market-Adjusted Model,12530,9/8/2022,0.001500578,0.094865613,0.090855237,21,100
Market-Adjusted Model,12531,9/8/2022,0.060627174,0.163302793,0.149981832,21,100
Market-Adjusted Model,12533,9/8/2022,-0.10594541,-0.018577073,-0.016590751,21,100
Market-Adjusted Model,12534,9/8/2022,-0.091718927,-0.000131135,-0.002364269,21,100
Market-Adjusted Model,12535,9/8/2022,-0.09074302,-0.001342195,-0.001388361,21,100
Market-Adjusted Model,12536,9/8/2022,-0.108991785,-0.021923767,-0.019637126,21,100
Market-Adjusted Model,12537,9/8/2022,-0.008288834,0.082960051,0.081065824,21,100
Market-Adjusted Model,12540,9/8/2022,-0.128177978,-0.037511014,-0.03882332,21,100
Market-Adjusted Model,12542,9/8/2022,0.002159808,0.093136508,0.091514467,21,100
Market-Adjusted Model,12543,9/8/2022,-0.047382371,0.042879896,0.041972288,21,100
Market-Adjusted Model,12552,9/8/2022,-0.00904555,0.082504245,0.080309109,21,100
Market-Adjusted Model,12556,9/8/2022,-0.881286413,-1.429287351,-0.836785453,14,100
Market-Adjusted Model,12558,9/8/2022,-0.083112742,0.007041346,0.006241916,21,100
Market-Adjusted Model,12564,9/8/2022,-0.05869384,0.031124837,0.030660819,21,100
Market-Adjusted Model,12565,9/8/2022,-0.030973589,0.05989453,0.058381069,21,100
Market-Adjusted Model,12566,9/8/2022,-0.149112399,-0.060851659,-0.059757741,21,100
Market-Adjusted Model,12569,9/8/2022,-0.09011504,0.004838274,-0.000760381,21,100
Market-Adjusted Model,12570,9/8/2022,-0.116054566,-0.027701029,-0.026699908,21,100
Market-Adjusted Model,12573,9/8/2022,-0.294626294,-0.232483639,-0.205271635,21,100
Market-Adjusted Model,12577,9/8/2022,-0.170068024,-0.085856941,-0.080713366,21,100
Market-Adjusted Model,12578,9/8/2022,-0.103097494,-0.015674051,-0.013742835,21,100
Market-Adjusted Model,12579,9/8/2022,-0.256329164,-0.185938783,-0.166974506,21,100
Market-Adjusted Model,12583,9/8/2022,-0.041570438,0.055133308,0.047784221,21,100
Market-Adjusted Model,12591,9/8/2022,-0.113272539,-0.023007196,-0.02391788,21,100
Market-Adjusted Model,12592,9/8/2022,0.327391267,0.400598435,0.416745926,21,100
Market-Adjusted Model,12593,9/8/2022,-0.071072081,0.019569849,0.018282577,21,100
Market-Adjusted Model,12615,9/8/2022,-0.158430595,-0.076548157,-0.069075936,21,100
Market-Adjusted Model,12621,9/8/2022,0.012024008,0.107736712,0.101378667,21,100
Market-Adjusted Model,12622,9/8/2022,-0.074530122,0.018891189,0.014824537,21,100
Market-Adjusted Model,12623,9/8/2022,0.002161018,0.094678049,0.091515677,21,100
Market-Adjusted Model,12625,9/8/2022,-0.065653698,0.024481328,0.023700961,21,100
Market-Adjusted Model,12628,9/8/2022,-0.089230737,0.00102383,0.000123922,21,100
Market-Adjusted Model,12629,9/8/2022,-0.115798226,-0.025991923,-0.026443568,21,100
Market-Adjusted Model,12631,9/8/2022,-0.01448471,0.076514789,0.074869949,21,100
Market-Adjusted Model,12633,9/8/2022,0.037705843,0.128704199,0.127060501,21,100
Market-Adjusted Model,12641,9/8/2022,-0.134162961,-0.046490053,-0.044808303,21,100
Market-Adjusted Model,12644,9/8/2022,-0.046638343,0.055933356,0.042716316,21,100
Market-Adjusted Model,12646,9/8/2022,-0.054029162,0.037856367,0.035325496,21,100
Market-Adjusted Model,12647,9/8/2022,-0.077904613,0.012724729,0.011450045,21,100
Market-Adjusted Model,12648,9/8/2022,-0.039076755,0.054103806,0.050277904,21,100
Market-Adjusted Model,12649,9/8/2022,-0.016675737,0.078116961,0.072678922,21,100
Market-Adjusted Model,12651,9/8/2022,-0.045417178,0.047221218,0.043937481,21,100
Market-Adjusted Model,12652,9/8/2022,-0.058372706,0.033506398,0.030981952,21,100
